neighborhood,lon,lat,n_events,period_start,period_end,source,source_version
North St.James Town (74),-79.37622315570079,43.66924040879271,233,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
O'Connor-Parkview (54),-79.30295705711893,43.707394189060395,36,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Oakridge (121),-79.28580476562132,43.69338422103418,44,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Oakwood Village (107),-79.43992214652974,43.693163772618576,66,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Old East York (58),-79.33971322725657,43.69468655917457,14,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Palmerston-Little Italy (80),-79.41607073008583,43.65977590713319,203,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Parkwoods-Donalda (45),-79.32857716506125,43.75401452181123,34,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Pelmo Park-Humberlea (23),-79.53452633259599,43.71053804014776,5,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Playter Estates-Danforth (67),-79.35537498775473,43.678037843577414,61,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Pleasant View (46),-79.33169496448295,43.78880674789264,5,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Princess-Rosethorn (10),-79.54278218831497,43.6664342839495,13,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Regent Park (72),-79.36178286088128,43.65943439853815,140,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Rexdale-Kipling (4),-79.56943957685264,43.726549256380395,5,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Rockcliffe-Smythe (111),-79.49193279998173,43.67234248080122,44,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Roncesvalles (86),-79.44277811907274,43.64370439603947,169,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Rosedale-Moore Park (98),-79.38462305095243,43.67502671420579,225,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Rouge (131),-79.13309434834144,43.78938806538385,38,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Runnymede-Bloor West Village (89),-79.48480851655415,43.65975616827931,77,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Rustic (28),-79.50024894268427,43.70839284643953,5,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Scarborough Village (139),-79.22121647737255,43.74178808353859,13,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
South Parkdale (85),-79.43087572304012,43.63836538756867,124,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
South Riverdale (70),-79.34033408773206,43.66227352160024,403,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
St.Andrew-Windfields (40),-79.39807496057622,43.75295000125709,22,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Steeles (116),-79.32254019689177,43.815065444286134,11,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Stonegate-Queensway (16),-79.50687874894817,43.63678476785418,46,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Tam O'Shanter-Sullivan (118),-79.29346258821549,43.78211963627784,12,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Taylor-Massey (61),-79.29495186057909,43.692458919227406,32,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
The Beaches (63),-79.30297553719052,43.66875560841342,191,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Thistletown-Beaumond Heights (3),-79.5659329290065,43.73754827301803,10,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Thorncliffe Park (55),-79.35448121100222,43.71036836631147,40,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Trinity-Bellwoods (81),-79.41373927922925,43.65087049509186,214,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
University (79),-79.39982104056267,43.66254295263539,502,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Victoria Village (43),-79.3128138518101,43.72684844443762,8,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Waterfront Communities-The Island (77),-79.38919773860151,43.64473008383375,1406,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
West Hill (136),-79.18284860837016,43.76769079627477,71,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
West Humber-Clairville (1),-79.60420741329722,43.73006355433667,50,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Westminster-Branson (35),-79.44807552904417,43.781743102812335,44,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Weston (113),-79.5165855480493,43.702833758307314,29,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Weston-Pelham Park (91),-79.45875842314518,43.67071482937652,39,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Wexford/Maryvale (119),-79.30050366891615,43.74264083383781,41,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Willowdale East (51),-79.410074781475,43.76524478810602,135,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Willowdale West (37),-79.41563035776022,43.77061463226557,90,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Willowridge-Martingrove-Richview (7),-79.55960317676033,43.68486812894035,18,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Woburn (137),-79.22656387770975,43.76289989874722,53,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Woodbine Corridor (64),-79.31407054230695,43.67581440173363,67,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Woodbine-Lumsden (60),-79.31039264658962,43.69145821847367,17,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Wychwood (94),-79.42710542937913,43.6784532168336,101,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Yonge-Eglinton (100),-79.40102373824469,43.70674080495774,73,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Yonge-St.Clair (97),-79.39834065134646,43.689263791751046,54,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
York University Heights (27),-79.49891755560928,43.76657476817609,102,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
Yorkdale-Glen Park (31),-79.45130621630454,43.714348256200424,52,2014-01-01,2017-12-31,"Toronto Police Service Bicycle Thefts Open Data; median of event coordinates within the frozen training period (training-period estimate, not an official centroid)",bicycle.csv sha256:bd942a7bcbe33ba673b7fdec9b2ff2b747cb0d530af4522e5d003d78fb3f640b
